theme_id,slug,title,period,sites,role,funders,partners,summary,long,outputs,image
housing-urban,eviction-social-housing,Lodging at the State's House (Doctoral Project),2019–2024,"Jakarta,Indonesia",Principal Investigator,AGRTP Scholarship 2019–2024,"Prof. Sharon Bessell, Australian National University (supervisor)","Based on 18-months ethnography in three social housing, my thesis traces how residents’ contingent entanglements with the state produce conflicting formations of rights, care, agency, and community, revealing forms of agency that both align with and unsettle existing structures while privileging ethical and affective claimsover formal rights-based politics, with a persistent yearning for a paternalistic state care.",https://doi.org/10.1355/9789815203738-006.,,
youth-climate,climate-young-people,Climate Change from Young People Standpoint,2024–2025,"Jakarta, Pekalongan, Pontianak, Indonesia",Co-Investigator,"DFAT-Australia, KONEKSI","A/Prof. Firman Witoelar, Australian National University ","Despite widely acknowledged as experiencing disproportionate impacts of climate change, we know very little about how marginalized young people understand and experience environmental injustice. This project traces how young people from three urban marginalised and informal communities perceive and narrate climate and environmental harms in their everyday life.",,https://puskapa.org/en/blog/publication/6375/,
youth-climate,climate-young-people,Ethical Research with Young People at the Intersection of Health and Climate Change,2025–2026,"Jakarta’s Bay, Indonesia; Puttalam, Sri Lanka",Co-Investigator,World Health Organisation,"A/Prof. Grace Wangge, Dr Gabriela Fernando, Monash University Indonesia","How do young people want to be involved in research that seeks to understand the impacts of climate change on their health? With children and youth from two different communities, an informal settlement in Jakarta’s Bay and a rural settlement in Puttalam, Sri Lanka, we explore what an ethical research means for them and how it looks like. ",,,
